Name,Description,Domains,Employee Range,Team,LinkedIn,Lead Score,Status
Winefinder,"Premium wine subscription service and online wine retailer. Fast-growing Swedish wine e-commerce with strong D2C presence expanding to B2B wholesale. Lead Score: 85/100 (HOT LEAD). Category: Food & Beverage. Employees: 50-100. Website: winefinder.se. Revenue: €10M-50M. Why Hot: High growth, digital-first, expanding B2B.",winefinder.se,50-100,,,85,Hot Lead
Greatness,"Healthy snack brand focused on protein bars and functional foods. Strong brand recognition in Nordic markets, sustainability-focused. Lead Score: 78/100 (WARM LEAD). Category: Food & Beverage. Employees: 20-50. Website: greatness.se. Revenue: €5M-10M. Why Warm: Strong brand, scaling distribution.",greatness.se,20-50,,,78,Warm Lead
Noqo,"Plant-based dairy alternatives and sustainable food products. Focus on eco-friendly packaging and organic ingredients. Lead Score: 72/100 (WARM LEAD). Category: Food & Beverage. Employees: 10-20. Website: noqo.se. Revenue: €2M-5M. Why Warm: Growing vegan market, sustainability focus.",noqo.se,10-20,,,72,Warm Lead
Resteröds,"Heritage Swedish clothing brand since 1935. Classic menswear with sustainable production. Strong wholesale presence expanding to EU. Lead Score: 82/100 (HOT LEAD). Category: Fashion. Employees: 50-100. Website: resterods.com. Revenue: €20M-50M. Why Hot: Heritage brand, strong wholesale, EU expansion.",resterods.com,50-100,,,82,Hot Lead
Sandqvist,"Premium Swedish bag and accessory brand. Known for minimalist design and quality materials. Strong international B2B presence. Lead Score: 88/100 (HOT LEAD - High Priority). Category: Fashion. Employees: 50-100. Website: sandqvist.net. Revenue: €15M-30M. Why Hot: Strong B2B, international expansion.",sandqvist.net,50-100,,,88,Hot Lead
Happy Socks,"Global sock brand known for colorful designs. Strong wholesale business across 90+ countries. Part of Palamon Capital. Lead Score: 92/100 (HOT LEAD - TOP PRIORITY). Category: Fashion. Employees: 200-500. Website: happysocks.com. Revenue: €100M+. Why Priority: Global brand, established B2B, high volume.",happysocks.com,200-500,,,92,Hot Lead
Ida Warg,"Leading Swedish beauty and wellness brand. Haircare, skincare, and supplements. Strong influencer marketing, rapidly growing D2C. Lead Score: 80/100 (WARM LEAD). Category: Health & Beauty. Employees: 20-50. Website: idawarg.com. Revenue: €10M-20M. Why Warm: Fast growth, strong brand, expanding distribution.",idawarg.com,20-50,,,80,Warm Lead
Maria Nila,"Professional haircare brand from Sweden. 100% vegan and cruelty-free. Strong salon distribution network expanding to retail. Lead Score: 83/100 (HOT LEAD). Category: Health & Beauty. Employees: 50-100. Website: marianila.com. Revenue: €20M-40M. Why Hot: Professional grade, vegan trend, salon network.",marianila.com,50-100,,,83,Hot Lead
Estelle & Thild,"Premium organic skincare brand. Certified organic ingredients, sustainable packaging. Expanding to EU markets. Lead Score: 75/100 (WARM LEAD). Category: Health & Beauty. Employees: 20-50. Website: estellethild.com. Revenue: €5M-15M. Why Warm: Organic trend, premium positioning, EU expansion.",estellethild.com,20-50,,,75,Warm Lead
String Furniture,"Iconic Swedish furniture brand known for the String® shelving system. Design classic since 1949. Strong B2B contract and retail presence. Lead Score: 86/100 (HOT LEAD). Category: Home & Interior. Employees: 50-100. Website: string.se. Revenue: €20M-40M. Why Hot: Design icon, established B2B, contract market.",string.se,50-100,,,86,Hot Lead
Skargaarden,"Luxury outdoor furniture from Sweden. High-end design for gardens and terraces. Premium positioning. Lead Score: 79/100 (WARM LEAD). Category: Home & Interior. Employees: 20-50. Website: skargaarden.com. Revenue: €10M-20M. Why Warm: Luxury segment, outdoor trend, international growth.",skargaarden.com,20-50,,,79,Warm Lead
Design House Stockholm,"Curated collection of Scandinavian design. Represents multiple designers and brands. Strong wholesale network across Europe. Lead Score: 81/100 (WARM LEAD). Category: Home & Interior. Employees: 50-100. Website: designhousestockholm.com. Revenue: €15M-30M. Why Warm: Multi-brand, established distribution, European network.",designhousestockholm.com,50-100,,,81,Warm Lead
Outnorth,"Leading Nordic outdoor retailer. E-commerce focused with premium outdoor brands. Expanding private label. Lead Score: 89/100 (HOT LEAD - High Priority). Category: Sporting Goods. Employees: 100-200. Website: outnorth.com. Revenue: €100M+. Why Hot: Major retailer, outdoor trend, Nordic leader.",outnorth.com,100-200,,,89,Hot Lead
Addnature,"Outdoor equipment e-commerce platform. Part of Footway Group. Strong technical product focus, growing B2B. Lead Score: 84/100 (HOT LEAD). Category: Sporting Goods. Employees: 50-100. Website: addnature.com. Revenue: €50M-100M. Why Hot: E-commerce leader, technical products, B2B growth.",addnature.com,50-100,,,84,Hot Lead
Dogman,"Leading Nordic pet supply company. Comprehensive range of pet products. Strong retail presence expanding premium segment. Lead Score: 87/100 (HOT LEAD - High Priority). Category: Pet Supplies. Employees: 100-200. Website: dogman.com. Revenue: €50M-100M. Why Hot: Market leader, pet industry growth, Nordic stronghold.",dogman.com,100-200,,,87,Hot Lead
NetOnNet,"Major Swedish electronics retailer. Warehouses and showrooms across Sweden. Strong B2B division for corporate customers. Lead Score: 90/100 (HOT LEAD - TOP PRIORITY). Category: Electronics. Employees: 500-1000. Website: netonnet.se. Revenue: €500M+. Why Priority: Major retailer, established B2B, high volume, corporate focus.",netonnet.se,500-1000,,,90,Hot Lead
Dahl,"Leading HVAC and plumbing distributor in Nordics. Part of Saint-Gobain. Extensive B2B distribution network. Lead Score: 85/100 (HOT LEAD). Category: Industrial. Employees: 1000+. Website: dahl.se. Revenue: €500M+. Why Hot: Industrial leader, B2B focused, established network, Saint-Gobain backing.",dahl.se,1000+,,,85,Hot Lead